id,timestamp,device,s4mmet1.envtmp.mag.f,s2mmet1.envtmp.mag.f,s3mmet1.envtmp.mag.f,s5mmet1.envtmp.mag.f,tmpcntmmet1.envtmp.mag.f,tmppctmmet1.envtmp.mag.f,s2mmet1.poainsol1.mag.f,s3mmet1.poainsol1.mag.f,s4mmet1.poainsol1.mag.f,s5mmet1.poainsol1.mag.f,tmpcntmmet1.poainsol1.mag.f,tmppctmmet1.poainsol1.mag.f,s4pvstmp1.tmp.mag.f,s2pvstmp1.tmp.mag.f,s3pvstmp1.tmp.mag.f,s5pvstmp1.tmp.mag.f,tmpcntpvstmp1.tmp.mag.f,tmppctpvstmp1.tmp.mag.f
3275553,12/31/2024 22:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.301193237,0.403066009,0.008616396,0.219633073,11,100,6.908828445,5.609779358,8.475070953,0.659326195,11,100
3275555,1/1/2025 0:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.311711639,0.396046966,0.070587451,0.215865763,13,100,6.684479473,5.541455269,7.894321918,0.53857075,14,100
3275556,1/1/2025 0:16,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.381779999,0.25239563,-0.066074372,0.133454009,12,100,7.055025873,5.614050388,8.325609207,0.562739846,13,100
3275558,1/1/2025 0:36,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.315221161,0.22086589,-0.038526768,0.151782127,12,100,6.899903709,5.784854412,8.470799446,0.645236597,12,100
3275764,1/1/2025 0:56,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.36076355,0.483647674,0.164306494,0.215460503,12,100,6.481192299,5.10589695,8.159076691,0.595833539,13,100
3275765,1/1/2025 0:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.360758454,0.532694519,0.048678022,0.210827777,13,100,6.888340937,5.686645508,8.086481094,0.503185579,12,100
3275977,1/1/2025 0:26,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.378285736,0.283935547,-0.020152982,0.140926459,12,100,6.763901552,5.596972466,7.680813789,0.542355269,11,100
3276185,1/1/2025 2:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.115493774,0.389043182,0.15272741,0.137070669,12,100,6.716139223,5.938586712,8.107830048,0.433923297,12,100
3276396,1/1/2025 3:03,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.336222321,0.441599518,-0.041361124,0.197521408,13,100,6.667174701,5.562810421,7.885786057,0.574622425,12,100
3276608,1/1/2025 6:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.36777243,0.434595734,0.111616405,0.242500578,13,100,7.130832838,5.40908432,8.509232521,0.738492011,14,100
