Time,sanitized_timestamp_for_iri,s4MMXU.TotW.mag.f
2024-06-28T02:30:00,20240628023000,115474
2024-06-28T02:40:00,20240628024000,122790
2024-06-28T02:50:00,20240628025000,130107
2024-06-28T03:00:00,20240628030000,137423
2024-06-28T03:10:00,20240628031000,316027
2024-06-28T03:20:00,20240628032000,332002
2024-06-28T03:30:00,20240628033000,347976
2024-06-28T03:40:00,20240628034000,363951
2024-06-28T03:50:00,20240628035000,379925
2024-06-28T04:00:00,20240628040000,395899
2024-06-28T04:10:00,20240628041000,662148
2024-06-28T04:20:00,20240628042000,687829
2024-06-28T04:30:00,20240628043000,713511
2024-06-28T04:40:00,20240628044000,739192
2024-06-28T04:50:00,20240628045000,764873
2024-06-28T05:00:00,20240628050000,790554
2024-06-28T05:10:00,20240628051000,816236
2024-06-28T05:20:00,20240628052000,841917
2024-06-28T05:30:00,20240628053000,867598
2024-06-28T05:40:00,20240628054000,893279
2024-06-28T05:50:00,20240628055000,918961
2024-06-28T06:00:00,20240628060000,944642
2024-06-28T06:10:00,20240628061000,970323
2024-06-28T06:20:00,20240628062000,996004
2024-06-28T06:30:00,20240628063000,1021686
2024-06-28T06:40:00,20240628064000,1047367
2024-06-28T06:50:00,20240628065000,1073048
2024-06-28T07:00:00,20240628070000,1098729
2024-06-28T07:10:00,20240628071000,1124411
2024-06-28T07:20:00,20240628072000,1150092
2024-06-28T07:30:00,20240628073000,1175773
2024-06-28T07:40:00,20240628074000,1201454
2024-06-28T07:50:00,20240628075000,1228693
2024-06-28T08:00:00,20240628080000,1283216
2024-06-28T08:10:00,20240628081000,1326718
2024-06-28T08:20:00,20240628082000,1379439
2024-06-28T08:30:00,20240628083000,1432159
2024-06-28T08:40:00,20240628084000,1484880
2024-06-28T08:50:00,20240628085000,1537600
2024-06-28T09:00:00,20240628090000,1590321
2024-06-28T09:10:00,20240628091000,1500708
2024-06-28T09:20:00,20240628092000,1535142
2024-06-28T09:30:00,20240628093000,1569576
2024-06-28T09:40:00,20240628094000,1604009
2024-06-28T09:50:00,20240628095000,1638443
2024-06-28T10:00:00,20240628100000,1672877
2024-06-28T10:10:00,20240628101000,1556705
2024-06-28T10:20:00,20240628102000,1580213
2024-06-28T10:30:00,20240628103000,1603720
2024-06-28T10:40:00,20240628104000,1627227
2024-06-28T10:50:00,20240628105000,1650734
2024-06-28T11:00:00,20240628110000,1674241
2024-06-28T11:10:00,20240628111000,1464018
2024-06-28T11:20:00,20240628112000,1475711
2024-06-28T11:30:00,20240628113000,1487403
2024-06-28T11:40:00,20240628114000,1499096
2024-06-28T11:50:00,20240628115000,1510788
2024-06-28T12:00:00,20240628120000,1522481
2024-06-28T12:10:00,20240628121000,1227866
2024-06-28T12:20:00,20240628122000,1227678
2024-06-28T12:30:00,20240628123000,1227491
2024-06-28T12:40:00,20240628124000,1227303
2024-06-28T12:50:00,20240628125000,1227116
2024-06-28T13:00:00,20240628130000,1226928
2024-06-28T13:10:00,20240628131000,1226741
2024-06-28T13:20:00,20240628132000,1226553
2024-06-28T13:30:00,20240628133000,1226366
2024-06-28T13:40:00,20240628134000,1226178
2024-06-28T13:50:00,20240628135000,1225991
2024-06-28T14:00:00,20240628140000,1225803
2024-06-28T14:10:00,20240628141000,1225616
2024-06-28T14:20:00,20240628142000,1225428
2024-06-28T14:30:00,20240628143000,1225241
2024-06-28T14:40:00,20240628144000,1225053
2024-06-28T14:50:00,20240628145000,1224866
2024-06-28T15:00:00,20240628150000,1224678
2024-06-28T15:10:00,20240628151000,1224491
2024-06-28T15:20:00,20240628152000,1224303
2024-06-28T15:30:00,20240628153000,1224116
2024-06-28T15:40:00,20240628154000,1223928
2024-06-28T15:50:00,20240628155000,1220745
2024-06-28T16:00:00,20240628160000,1165097
2024-06-28T16:10:00,20240628161000,1090284
2024-06-28T16:20:00,20240628162000,1015472
2024-06-28T16:30:00,20240628163000,940659
2024-06-28T16:40:00,20240628164000,865847
2024-06-28T16:50:00,20240628165000,791034
2024-06-28T17:00:00,20240628170000,716222
2024-06-28T17:10:00,20240628171000,641409
2024-06-28T17:20:00,20240628172000,566597
2024-06-28T17:30:00,20240628173000,491784
2024-06-28T17:40:00,20240628174000,416972
2024-06-28T17:50:00,20240628175000,342159
2024-06-28T18:00:00,20240628180000,267347
2024-06-28T18:10:00,20240628181000,193975
2024-06-28T18:20:00,20240628182000,147385
2024-06-28T18:30:00,20240628183000,132807
2024-06-28T18:40:00,20240628184000,126548
2024-06-28T18:50:00,20240628185000,120289
2024-06-28T19:00:00,20240628190000,114030
2024-06-28T19:10:00,20240628191000,114184
2024-06-28T19:20:00,20240628192000,109267
2024-06-28T19:30:00,20240628193000,104349
2024-06-28T19:40:00,20240628194000,99431
2024-06-28T19:50:00,20240628195000,94513
2024-06-28T20:00:00,20240628200000,89595
2024-06-28T20:10:00,20240628201000,94034
2024-06-28T20:20:00,20240628202000,89984
2024-06-28T20:30:00,20240628203000,85934
2024-06-28T20:40:00,20240628204000,81884
2024-06-28T20:50:00,20240628205000,77834
2024-06-28T21:00:00,20240628210000,73784
2024-06-28T21:10:00,20240628211000,79929
2024-06-28T21:20:00,20240628212000,76487
2024-06-28T21:30:00,20240628213000,73044
2024-06-28T21:40:00,20240628214000,69602
2024-06-28T21:50:00,20240628215000,66159
2024-06-28T22:00:00,20240628220000,62717
2024-06-28T22:10:00,20240628221000,69504
2024-06-28T22:20:00,20240628222000,66510
2024-06-28T22:30:00,20240628223000,63517
2024-06-28T22:40:00,20240628224000,60523
2024-06-28T22:50:00,20240628225000,57530
2024-06-28T23:00:00,20240628230000,54536
2024-06-28T23:10:00,20240628231000,55133
2024-06-28T23:20:00,20240628232000,52264
2024-06-28T23:30:00,20240628233000,49395
2024-06-28T23:40:00,20240628234000,46526
2024-06-28T23:50:00,20240628235000,43658
2024-06-29T00:00:00,20240629000000,40789
2024-06-29T00:10:00,20240629001000,37920
2024-06-29T00:20:00,20240629002000,35051
2024-06-29T00:30:00,20240629003000,32183
2024-06-29T00:40:00,20240629004000,29314
2024-06-29T00:50:00,20240629005000,26445
2024-06-29T01:00:00,20240629010000,23576
2024-06-29T01:10:00,20240629011000,20708
2024-06-29T01:20:00,20240629012000,17839
2024-06-29T01:30:00,20240629013000,14970
2024-06-29T01:40:00,20240629014000,12101
2024-06-29T01:50:00,20240629015000,9233
2024-06-29T02:00:00,20240629020000,6364
2024-06-29T02:10:00,20240629021000,3495
2024-06-29T02:20:00,20240629022000,818
