Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-28T11:30:00,20240628113000,0.391,45.5
2024-06-28T11:40:00,20240628114000,0.337,47.2
2024-06-28T11:50:00,20240628115000,0.409,46.3
2024-06-28T12:00:00,20240628120000,0.477,45.8
2024-06-28T12:10:00,20240628121000,0.328,45.4
2024-06-28T12:20:00,20240628122000,0.453,45.6
2024-06-28T12:30:00,20240628123000,0.283,44.7
2024-06-28T12:40:00,20240628124000,0.274,44.3
2024-06-28T12:50:00,20240628125000,0.367,45.4
2024-06-28T13:00:00,20240628130000,0.438,42.7
2024-06-28T13:10:00,20240628131000,0.468,42.5
2024-06-28T13:20:00,20240628132000,0.429,41.4
2024-06-28T13:30:00,20240628133000,0.29,41.7
2024-06-28T13:40:00,20240628134000,0.269,41.1
2024-06-28T13:50:00,20240628135000,0.352,43.1
2024-06-28T14:00:00,20240628140000,0.385,42.9
2024-06-28T14:10:00,20240628141000,0.408,42.3
2024-06-28T14:20:00,20240628142000,0.37,41.1
2024-06-28T14:30:00,20240628143000,0.374,43.5
2024-06-28T14:40:00,20240628144000,0.241,40.3
2024-06-28T14:50:00,20240628145000,0.41,38.1
2024-06-28T15:00:00,20240628150000,0.45,39.1
2024-06-28T15:10:00,20240628151000,0.279,39.9
2024-06-28T15:20:00,20240628152000,0.393,39.7
2024-06-28T15:30:00,20240628153000,0.326,39.5
2024-06-28T15:40:00,20240628154000,0.422,37.7
2024-06-28T15:50:00,20240628155000,0.432,39.5
2024-06-28T16:00:00,20240628160000,0.414,38.7
2024-06-28T16:10:00,20240628161000,0.368,37.1
2024-06-28T16:20:00,20240628162000,0.386,35.7
2024-06-28T16:30:00,20240628163000,0.466,35.1
2024-06-28T16:40:00,20240628164000,0.295,35.2
2024-06-28T16:50:00,20240628165000,0.406,34.0
2024-06-28T17:00:00,20240628170000,0.305,33.0
2024-06-28T17:10:00,20240628171000,0.412,32.2
