Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-28T20:00:00,20240628200000,-0.631
2024-06-28T20:10:00,20240628201000,-0.563
2024-06-28T20:20:00,20240628202000,-0.606
2024-06-28T20:30:00,20240628203000,-0.555
2024-06-28T20:40:00,20240628204000,-0.582
2024-06-28T20:50:00,20240628205000,-0.576
2024-06-28T21:00:00,20240628210000,-0.619
2024-06-28T21:10:00,20240628211000,-0.586
2024-06-28T21:20:00,20240628212000,-0.603
2024-06-28T21:30:00,20240628213000,-0.65
2024-06-28T21:40:00,20240628214000,-0.539
2024-06-28T21:50:00,20240628215000,-0.617
2024-06-28T22:00:00,20240628220000,-0.569
2024-06-28T22:10:00,20240628221000,-0.619
2024-06-28T22:20:00,20240628222000,-0.51
2024-06-28T22:30:00,20240628223000,-0.565
2024-06-28T22:40:00,20240628224000,-0.507
2024-06-28T22:50:00,20240628225000,-0.591
2024-06-28T23:00:00,20240628230000,-0.526
2024-06-28T23:10:00,20240628231000,-0.558
2024-06-28T23:20:00,20240628232000,-0.536
2024-06-28T23:30:00,20240628233000,-0.569
2024-06-28T23:40:00,20240628234000,-0.559
2024-06-28T23:50:00,20240628235000,-0.526
2024-06-29T00:00:00,20240629000000,-0.501
2024-06-29T00:10:00,20240629001000,-0.579
2024-06-29T00:20:00,20240629002000,-0.504
2024-06-29T00:30:00,20240629003000,-0.566
2024-06-29T00:40:00,20240629004000,-0.563
2024-06-29T00:50:00,20240629005000,-0.633
2024-06-29T01:00:00,20240629010000,-0.57
2024-06-29T01:10:00,20240629011000,-0.566
2024-06-29T01:20:00,20240629012000,-0.553
2024-06-29T01:30:00,20240629013000,-0.564
2024-06-29T01:40:00,20240629014000,-0.537
2024-06-29T01:50:00,20240629015000,-0.533
2024-06-29T02:00:00,20240629020000,-0.489
2024-06-29T02:10:00,20240629021000,-0.602
2024-06-29T02:20:00,20240629022000,-0.574
2024-06-29T02:30:00,20240629023000,-0.682
2024-06-29T02:40:00,20240629024000,-0.585
2024-06-29T02:50:00,20240629025000,-0.611
2024-06-29T03:00:00,20240629030000,-0.565
2024-06-29T03:10:00,20240629031000,-0.585
2024-06-29T03:20:00,20240629032000,-0.592
2024-06-29T03:30:00,20240629033000,-0.554
2024-06-29T03:40:00,20240629034000,-0.556
2024-06-29T03:50:00,20240629035000,-0.569
2024-06-29T04:00:00,20240629040000,-0.574
2024-06-29T04:10:00,20240629041000,-0.482
2024-06-29T04:20:00,20240629042000,0.387
2024-06-29T04:30:00,20240629043000,1.99
2024-06-29T04:40:00,20240629044000,6.43
2024-06-29T04:50:00,20240629045000,12.9
2024-06-29T05:00:00,20240629050000,21.2
2024-06-29T05:10:00,20240629051000,33.8
2024-06-29T05:20:00,20240629052000,53.2
2024-06-29T05:30:00,20240629053000,75.4
2024-06-29T05:40:00,20240629054000,55.6
2024-06-29T05:50:00,20240629055000,44.9
2024-06-29T06:00:00,20240629060000,49.0
2024-06-29T06:10:00,20240629061000,51.5
2024-06-29T06:20:00,20240629062000,35.1
2024-06-29T06:30:00,20240629063000,16.3
2024-06-29T06:40:00,20240629064000,13.2
2024-06-29T06:50:00,20240629065000,18.3
2024-06-29T07:00:00,20240629070000,19.0
2024-06-29T07:10:00,20240629071000,69.0
2024-06-29T07:20:00,20240629072000,71.1
2024-06-29T07:30:00,20240629073000,38.9
2024-06-29T07:40:00,20240629074000,35.0
2024-06-29T07:50:00,20240629075000,34.4
2024-06-29T08:00:00,20240629080000,34.9
2024-06-29T08:10:00,20240629081000,35.3
2024-06-29T08:20:00,20240629082000,19.6
2024-06-29T08:30:00,20240629083000,32.6
2024-06-29T08:40:00,20240629084000,30.5
2024-06-29T08:50:00,20240629085000,35.8
2024-06-29T09:00:00,20240629090000,40.2
2024-06-29T09:10:00,20240629091000,39.1
2024-06-29T09:20:00,20240629092000,48.6
2024-06-29T09:30:00,20240629093000,39.0
2024-06-29T09:40:00,20240629094000,54.8
2024-06-29T09:50:00,20240629095000,31.9
2024-06-29T10:00:00,20240629100000,32.9
2024-06-29T10:10:00,20240629101000,30.1
2024-06-29T10:20:00,20240629102000,31.3
2024-06-29T10:30:00,20240629103000,36.3
2024-06-29T10:40:00,20240629104000,56.1
2024-06-29T10:50:00,20240629105000,41.0
2024-06-29T11:00:00,20240629110000,30.9
2024-06-29T11:10:00,20240629111000,52.2
2024-06-29T11:20:00,20240629112000,85.7
2024-06-29T11:30:00,20240629113000,163.0
2024-06-29T11:40:00,20240629114000,272.0
2024-06-29T11:50:00,20240629115000,248.0
2024-06-29T12:00:00,20240629120000,121.0
2024-06-29T12:10:00,20240629121000,40.3
2024-06-29T12:20:00,20240629122000,56.4
2024-06-29T12:30:00,20240629123000,621.0
2024-06-29T12:40:00,20240629124000,505.0
2024-06-29T12:50:00,20240629125000,834.0
2024-06-29T13:00:00,20240629130000,940.0
2024-06-29T13:10:00,20240629131000,985.0
2024-06-29T13:20:00,20240629132000,984.0
2024-06-29T13:30:00,20240629133000,1114.0
2024-06-29T13:40:00,20240629134000,671.0
2024-06-29T13:50:00,20240629135000,108.0
2024-06-29T14:00:00,20240629140000,27.1
2024-06-29T14:10:00,20240629141000,85.1
2024-06-29T14:20:00,20240629142000,192.0
2024-06-29T14:30:00,20240629143000,263.0
2024-06-29T14:40:00,20240629144000,446.0
2024-06-29T14:50:00,20240629145000,589.0
2024-06-29T15:00:00,20240629150000,733.0
2024-06-29T15:10:00,20240629151000,668.0
2024-06-29T15:20:00,20240629152000,688.0
2024-06-29T15:30:00,20240629153000,682.0
2024-06-29T15:40:00,20240629154000,653.0
2024-06-29T15:50:00,20240629155000,382.0
2024-06-29T16:00:00,20240629160000,300.0
2024-06-29T16:10:00,20240629161000,271.0
2024-06-29T16:20:00,20240629162000,319.0
2024-06-29T16:30:00,20240629163000,295.0
2024-06-29T16:40:00,20240629164000,375.0
2024-06-29T16:50:00,20240629165000,343.0
2024-06-29T17:00:00,20240629170000,317.0
2024-06-29T17:10:00,20240629171000,254.0
2024-06-29T17:20:00,20240629172000,263.0
2024-06-29T17:30:00,20240629173000,240.0
2024-06-29T17:40:00,20240629174000,201.0
2024-06-29T17:50:00,20240629175000,151.0
2024-06-29T18:00:00,20240629180000,96.7
2024-06-29T18:10:00,20240629181000,62.8
2024-06-29T18:20:00,20240629182000,49.5
2024-06-29T18:30:00,20240629183000,46.4
2024-06-29T18:40:00,20240629184000,33.3
2024-06-29T18:50:00,20240629185000,30.4
2024-06-29T19:00:00,20240629190000,24.0
2024-06-29T19:10:00,20240629191000,21.0
2024-06-29T19:20:00,20240629192000,15.0
2024-06-29T19:30:00,20240629193000,7.2
2024-06-29T19:40:00,20240629194000,0.319
2024-06-29T19:50:00,20240629195000,-0.444
2024-06-29T20:00:00,20240629200000,-0.547
2024-06-29T20:10:00,20240629201000,-0.577
2024-06-29T20:20:00,20240629202000,-0.616
2024-06-29T20:30:00,20240629203000,-0.515
2024-06-29T20:40:00,20240629204000,-0.496
2024-06-29T20:50:00,20240629205000,-0.514
2024-06-29T21:00:00,20240629210000,-0.462
2024-06-29T21:10:00,20240629211000,-0.585
2024-06-29T21:20:00,20240629212000,-0.497
2024-06-29T21:30:00,20240629213000,-0.49
2024-06-29T21:40:00,20240629214000,-0.555
2024-06-29T21:50:00,20240629215000,-0.576
2024-06-29T22:00:00,20240629220000,-0.497
2024-06-29T22:10:00,20240629221000,-0.544
2024-06-29T22:20:00,20240629222000,-0.495
2024-06-29T22:30:00,20240629223000,-0.525
2024-06-29T22:40:00,20240629224000,-0.401
2024-06-29T22:50:00,20240629225000,-0.526
2024-06-29T23:00:00,20240629230000,-0.539
2024-06-29T23:10:00,20240629231000,-0.509
2024-06-29T23:20:00,20240629232000,-0.48
2024-06-29T23:30:00,20240629233000,-0.494
2024-06-29T23:40:00,20240629234000,-0.473
2024-06-29T23:50:00,20240629235000,-0.503
2024-06-30T00:00:00,20240630000000,-0.457
2024-06-30T00:10:00,20240630001000,-0.483
2024-06-30T00:20:00,20240630002000,-0.49
2024-06-30T00:30:00,20240630003000,-0.535
2024-06-30T00:40:00,20240630004000,-0.535
2024-06-30T00:50:00,20240630005000,-0.56
2024-06-30T01:00:00,20240630010000,-0.481
2024-06-30T01:10:00,20240630011000,-0.493
2024-06-30T01:20:00,20240630012000,-0.454
2024-06-30T01:30:00,20240630013000,-0.479
2024-06-30T01:40:00,20240630014000,-0.449
2024-06-30T01:50:00,20240630015000,-0.396
2024-06-30T02:00:00,20240630020000,-0.382
2024-06-30T02:10:00,20240630021000,-0.41
2024-06-30T02:20:00,20240630022000,-0.485
2024-06-30T02:30:00,20240630023000,-0.499
2024-06-30T02:40:00,20240630024000,-0.483
2024-06-30T02:50:00,20240630025000,-0.393
2024-06-30T03:00:00,20240630030000,-0.401
2024-06-30T03:10:00,20240630031000,-0.421
2024-06-30T03:20:00,20240630032000,-0.4
2024-06-30T03:30:00,20240630033000,-0.439
2024-06-30T03:40:00,20240630034000,-0.372
2024-06-30T03:50:00,20240630035000,-0.41
2024-06-30T04:00:00,20240630040000,-0.399
2024-06-30T04:10:00,20240630041000,0.826
2024-06-30T04:20:00,20240630042000,7.52
2024-06-30T04:30:00,20240630043000,16.2
2024-06-30T04:40:00,20240630044000,25.3
2024-06-30T04:50:00,20240630045000,31.3
2024-06-30T05:00:00,20240630050000,30.5
2024-06-30T05:10:00,20240630051000,38.8
2024-06-30T05:20:00,20240630052000,54.1
2024-06-30T05:30:00,20240630053000,73.9
2024-06-30T05:40:00,20240630054000,94.6
2024-06-30T05:50:00,20240630055000,121.0
2024-06-30T06:00:00,20240630060000,149.0
2024-06-30T06:10:00,20240630061000,180.0
2024-06-30T06:20:00,20240630062000,212.0
2024-06-30T06:30:00,20240630063000,247.0
2024-06-30T06:40:00,20240630064000,278.0
2024-06-30T06:50:00,20240630065000,317.0
2024-06-30T07:00:00,20240630070000,353.0
2024-06-30T07:10:00,20240630071000,392.0
2024-06-30T07:20:00,20240630072000,431.0
2024-06-30T07:30:00,20240630073000,470.0
2024-06-30T07:40:00,20240630074000,504.0
2024-06-30T07:50:00,20240630075000,539.0
2024-06-30T08:00:00,20240630080000,575.0
2024-06-30T08:10:00,20240630081000,607.0
2024-06-30T08:20:00,20240630082000,639.0
2024-06-30T08:30:00,20240630083000,675.0
2024-06-30T08:40:00,20240630084000,704.0
2024-06-30T08:50:00,20240630085000,731.0
2024-06-30T09:00:00,20240630090000,765.0
2024-06-30T09:10:00,20240630091000,787.0
2024-06-30T09:20:00,20240630092000,819.0
